timestamp,location_name,latitude,longitude,solar_radiation_kw_per_m2,raw_allsky_sfc_sw_dwn_wh_per_m2,source,source_dataset,time_standard
2023-01-02T10:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.37748000000000004,377.48,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T11:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.52583,525.83,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T12:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.59935,599.35,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T13:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.676,676.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T14:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.52358,523.58,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T15:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.48738,487.38,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T16:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.3715,371.5,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T17:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.21894999999999998,218.95,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T18:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.07207,72.07,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T19:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T20:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T21:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T22:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-02T23:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T00:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T01:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T02:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T03:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T04:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T05:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T06:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T07:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T08:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.05103,51.03,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T09:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.25225,252.25,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T10:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.47035000000000005,470.35,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T11:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.63347,633.47,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T12:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.7444,744.4,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T13:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.81733,817.33,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T14:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.79092,790.92,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T15:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.65525,655.25,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T16:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.43285,432.85,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T17:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.25205,252.05,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
