scenario,wind_mw,pv_mw,storage_mwh,start_storage_mwh,backup_limit_pct,annual_load_mwh,wind_generation_mwh,pv_generation_mwh,storage_generation_mwh,storage_pumping_mwh,biodiesel_backup_generation_mwh,backup_share_pct,overproduction_mwh,lcoe_eur_per_kwh,residual_load_1_not_met_mwh,residual_load_2_not_met_mwh,max_biodiesel_capacity_mw,max_pump_mw,max_storage_generation_mw,feasible_against_limit,obvious_constraint_or_failure
A,40.0,100.0,450.0,225.0,5.0,320823.9999999988,191041.41035407878,204953.8311320754,51071.5367356291,66694.36931885702,15153.46237598326,4.723294509133767,63758.57055930299,0.09286930432712538,65147.34306113931,15153.46237598326,40.66571643778099,81.01865606546359,46.04343997567099,True,No obvious first-pass failure
B,55.0,70.0,450.0,225.0,5.0,320823.9999999988,262681.939236854,143467.68179245302,29131.445629874856,37642.713321366165,22016.38035509372,6.862448057219474,84748.67679630182,0.0925430264623634,50179.30548469323,22016.38035509372,45.869686860670996,71.83856611074661,45.03094168089913,False,Biodiesel share exceeds scenario backup limit
C,30.0,125.0,450.0,225.0,5.0,320823.9999999988,143281.0577655596,256192.2889150952,76940.78794825883,101282.579466,9316.26835658379,2.9038564311223056,54154.34882791783,0.09459792277510018,85167.12268885839,9316.26835658379,37.20531885471474,95.58028800246495,46.159275385670995,True,No obvious first-pass failure
D,40.0,100.0,700.0,350.0,2.5,320823.9999999988,191041.41035407878,204953.8311320754,54602.60549132534,71818.66830564354,11377.850859684508,3.5464462944432307,59320.92763674571,0.09602513458077885,65147.34306113931,11377.850859684508,40.66571643778099,81.78473142229511,46.04343997567099,False,Biodiesel share exceeds scenario backup limit
E,40.0,100.0,250.0,125.0,5.0,320823.9999999988,191041.41035407878,204953.8311320754,45326.803601995256,58329.69699810857,21416.683401800216,6.675524088534616,71002.37678907126,0.09300124678581226,65147.34306113931,21416.683401800216,40.66571643778099,81.01865606546359,46.04343997567099,False,Biodiesel share exceeds scenario backup limit
