hour_of_year,timestamp,load_mwh,wind_speed_m_s,solar_radiation_kw_m2
1,2023-01-01 00:00:00,21.23946396251068,6.52,0.0
2,2023-01-01 01:00:00,19.91199746485376,6.74,0.0
3,2023-01-01 02:00:00,20.70847736344791,7.0,0.0
4,2023-01-01 03:00:00,21.23946396251068,7.03,0.0
5,2023-01-01 04:00:00,22.03594386110483,6.81,0.0
6,2023-01-01 05:00:00,22.83242375969898,7.13,0.0
7,2023-01-01 06:00:00,23.62890365829313,7.27,0.0
8,2023-01-01 07:00:00,23.89439695782451,7.32,0.0
9,2023-01-01 08:00:00,24.42538355688728,7.31,0.046
10,2023-01-01 09:00:00,25.221863455481422,7.29,0.239
11,2023-01-01 10:00:00,24.95637015595005,7.15,0.441
12,2023-01-01 11:00:00,25.48735675501281,6.77,0.595
13,2023-01-01 12:00:00,25.48735675501281,6.8,0.727
14,2023-01-01 13:00:00,24.95637015595005,7.19,0.767
15,2023-01-01 14:00:00,23.89439695782451,7.78,0.739
16,2023-01-01 15:00:00,23.89439695782451,7.83,0.621
17,2023-01-01 16:00:00,24.690876856418654,7.68,0.444
18,2023-01-01 17:00:00,25.48735675501281,7.42,0.237
19,2023-01-01 18:00:00,26.549329953138344,7.7,0.073
20,2023-01-01 19:00:00,26.549329953138344,8.14,0.002
21,2023-01-01 20:00:00,26.28383665360696,8.1,0.0
22,2023-01-01 21:00:00,24.95637015595005,8.14,0.0
23,2023-01-01 22:00:00,22.30143716063621,8.08,0.0
24,2023-01-01 23:00:00,22.03594386110483,8.54,0.0
25,2023-01-02 00:00:00,30.082055409239292,8.86,0.0
26,2023-01-02 01:00:00,28.20192694616184,8.93,0.0
27,2023-01-02 02:00:00,29.330004024008307,8.79,0.0
28,2023-01-02 03:00:00,30.082055409239292,9.12,0.0
29,2023-01-02 04:00:00,31.210132487085765,9.54,0.0
30,2023-01-02 05:00:00,32.33820956493224,9.47,0.0
31,2023-01-02 06:00:00,33.46628664277871,9.69,0.0
32,2023-01-02 07:00:00,33.842312335394205,9.92,0.0
33,2023-01-02 08:00:00,34.59436372062519,9.97,0.053
34,2023-01-02 09:00:00,35.72244079847166,9.6,0.213
35,2023-01-02 10:00:00,35.346415105856174,9.14,0.421
36,2023-01-02 11:00:00,36.09846649108715,8.41,0.592
37,2023-01-02 12:00:00,36.09846649108715,7.96,0.712
38,2023-01-02 13:00:00,35.346415105856174,7.84,0.748
39,2023-01-02 14:00:00,33.842312335394205,7.64,0.735
40,2023-01-02 15:00:00,33.842312335394205,7.41,0.595
41,2023-01-02 16:00:00,34.97038941324068,7.32,0.391
42,2023-01-02 17:00:00,36.09846649108715,7.41,0.2
43,2023-01-02 18:00:00,37.60256926154912,7.63,0.053
44,2023-01-02 19:00:00,37.60256926154912,8.28,0.002
45,2023-01-02 20:00:00,37.22654356893362,8.99,0.0
46,2023-01-02 21:00:00,35.346415105856174,9.06,0.0
47,2023-01-02 22:00:00,31.58615817970125,9.25,0.0
48,2023-01-02 23:00:00,31.210132487085765,9.01,0.0
49,2023-01-03 00:00:00,31.327490824271496,8.99,0.0
50,2023-01-03 01:00:00,29.36952264775453,9.49,0.0
51,2023-01-03 02:00:00,30.5443035536647,9.94,0.0
52,2023-01-03 03:00:00,31.327490824271496,10.22,0.0
53,2023-01-03 04:00:00,32.502271730181675,10.57,0.0
54,2023-01-03 05:00:00,33.67705263609186,10.92,0.0
55,2023-01-03 06:00:00,34.85183354200204,10.99,0.0
56,2023-01-03 07:00:00,35.243427177305435,10.85,0.0
57,2023-01-03 08:00:00,36.02661444791222,10.83,0.057
58,2023-01-03 09:00:00,37.2013953538224,10.34,0.251
59,2023-01-03 10:00:00,36.809801718519005,9.62,0.463
60,2023-01-03 11:00:00,37.59298898912579,9.55,0.628
61,2023-01-03 12:00:00,37.59298898912579,9.01,0.649
62,2023-01-03 13:00:00,36.809801718519005,8.75,0.625
63,2023-01-03 14:00:00,35.243427177305435,8.51,0.775
64,2023-01-03 15:00:00,35.243427177305435,8.54,0.66
65,2023-01-03 16:00:00,36.41820808321561,8.08,0.362
66,2023-01-03 17:00:00,37.59298898912579,6.84,0.208
67,2023-01-03 18:00:00,39.15936353033937,6.96,0.065
68,2023-01-03 19:00:00,39.15936353033937,7.74,0.002
69,2023-01-03 20:00:00,38.767769895035975,8.32,0.0
70,2023-01-03 21:00:00,36.809801718519005,8.79,0.0
71,2023-01-03 22:00:00,32.89386536548506,8.69,0.0
72,2023-01-03 23:00:00,32.502271730181675,9.17,0.0
73,2023-01-04 00:00:00,30.529134788994448,8.95,0.0
74,2023-01-04 01:00:00,28.62106386468229,8.81,0.0
75,2023-01-04 02:00:00,29.765906419269584,8.63,0.0
76,2023-01-04 03:00:00,30.529134788994448,8.86,0.0
77,2023-01-04 04:00:00,31.673977343581736,8.73,0.0
78,2023-01-04 05:00:00,32.81881989816903,8.73,0.0
79,2023-01-04 06:00:00,33.963662452756324,9.14,0.0
80,2023-01-04 07:00:00,34.34527663761875,9.09,0.0
81,2023-01-04 08:00:00,35.10850500734361,9.04,0.05
82,2023-01-04 09:00:00,36.253347561930894,8.5,0.245
83,2023-01-04 10:00:00,35.871733377068466,8.46,0.454
84,2023-01-04 11:00:00,36.63496174679333,8.44,0.623
85,2023-01-04 12:00:00,36.63496174679333,8.18,0.684
86,2023-01-04 13:00:00,35.871733377068466,8.28,0.711
87,2023-01-04 14:00:00,34.34527663761875,8.21,0.755
88,2023-01-04 15:00:00,34.34527663761875,7.99,0.663
89,2023-01-04 16:00:00,35.49011919220604,7.71,0.507
90,2023-01-04 17:00:00,36.63496174679333,7.57,0.303
91,2023-01-04 18:00:00,38.16141848624306,7.28,0.1
92,2023-01-04 19:00:00,38.16141848624306,7.49,0.002
93,2023-01-04 20:00:00,37.77980430138062,7.96,0.0
94,2023-01-04 21:00:00,35.871733377068466,7.78,0.0
95,2023-01-04 22:00:00,32.05559152844417,7.65,0.0
96,2023-01-04 23:00:00,31.673977343581736,8.54,0.0
97,2023-01-05 00:00:00,31.934241411082056,8.8,0.0
98,2023-01-05 01:00:00,29.938351322889424,8.55,0.0
99,2023-01-05 02:00:00,31.135885375805,8.33,0.0
100,2023-01-05 03:00:00,31.934241411082056,8.46,0.0
101,2023-01-05 04:00:00,33.131775463997634,8.64,0.0
102,2023-01-05 05:00:00,34.329309516913206,8.55,0.0
103,2023-01-05 06:00:00,35.526843569828785,8.78,0.0
104,2023-01-05 07:00:00,35.92602158746731,8.95,0.0
105,2023-01-05 08:00:00,36.72437762274437,8.9,0.05
106,2023-01-05 09:00:00,37.921911675659935,8.36,0.239
107,2023-01-05 10:00:00,37.52273365802141,8.22,0.442
108,2023-01-05 11:00:00,38.32108969329847,8.2,0.622
109,2023-01-05 12:00:00,38.32108969329847,8.71,0.742
110,2023-01-05 13:00:00,37.52273365802141,8.75,0.788
111,2023-01-05 14:00:00,35.92602158746731,8.61,0.75
112,2023-01-05 15:00:00,35.92602158746731,8.48,0.634
113,2023-01-05 16:00:00,37.12355564038289,8.3,0.444
114,2023-01-05 17:00:00,38.32108969329847,8.07,0.246
115,2023-01-05 18:00:00,39.91780176385257,7.86,0.084
116,2023-01-05 19:00:00,39.91780176385257,8.08,0.002
117,2023-01-05 20:00:00,39.51862374621405,8.06,0.0
118,2023-01-05 21:00:00,37.52273365802141,8.19,0.0
119,2023-01-05 22:00:00,33.53095348163616,8.36,0.0
120,2023-01-05 23:00:00,33.131775463997634,8.14,0.0
121,2023-01-06 00:00:00,31.135885375805,8.1,0.0
122,2023-01-06 01:00:00,29.18989253981719,7.96,0.0
123,2023-01-06 02:00:00,30.35748824140988,7.92,0.0
124,2023-01-06 03:00:00,31.135885375805,7.92,0.0
125,2023-01-06 04:00:00,32.303481077397684,8.21,0.0
126,2023-01-06 05:00:00,33.47107677899038,8.67,0.0
127,2023-01-06 06:00:00,34.63867248058306,8.89,0.0
128,2023-01-06 07:00:00,35.02787104778063,9.33,0.0
129,2023-01-06 08:00:00,35.80626818217576,9.36,0.053
130,2023-01-06 09:00:00,36.97386388376844,9.08,0.194
131,2023-01-06 10:00:00,36.58466531657088,9.34,0.398
132,2023-01-06 11:00:00,37.363062450966005,9.64,0.579
133,2023-01-06 12:00:00,37.363062450966005,9.35,0.719
134,2023-01-06 13:00:00,36.58466531657088,9.21,0.713
135,2023-01-06 14:00:00,35.02787104778063,8.99,0.677
136,2023-01-06 15:00:00,35.02787104778063,8.72,0.616
137,2023-01-06 16:00:00,36.19546674937332,8.75,0.51
138,2023-01-06 17:00:00,37.363062450966005,8.71,0.296
139,2023-01-06 18:00:00,38.91985671975626,8.71,0.092
140,2023-01-06 19:00:00,38.91985671975626,9.49,0.003
141,2023-01-06 20:00:00,38.5306581525587,9.58,0.0
142,2023-01-06 21:00:00,36.58466531657088,9.22,0.0
143,2023-01-06 22:00:00,32.69267964459525,8.92,0.0
144,2023-01-06 23:00:00,32.303481077397684,9.4,0.0
145,2023-01-07 00:00:00,21.929243576990046,9.25,0.0
146,2023-01-07 01:00:00,20.558665853428167,8.81,0.0
147,2023-01-07 02:00:00,21.381012487565297,8.41,0.0
148,2023-01-07 03:00:00,21.929243576990046,8.05,0.0
149,2023-01-07 04:00:00,22.751590211127173,8.5,0.0
150,2023-01-07 05:00:00,23.573936845264303,8.82,0.0
151,2023-01-07 06:00:00,24.396283479401426,8.77,0.0
152,2023-01-07 07:00:00,24.67039902411381,9.17,0.0
153,2023-01-07 08:00:00,25.218630113538552,9.93,0.013
154,2023-01-07 09:00:00,26.04097674767568,10.16,0.059
155,2023-01-07 10:00:00,25.766861202963312,10.11,0.191
156,2023-01-07 11:00:00,26.31509229238806,10.43,0.192
157,2023-01-07 12:00:00,26.31509229238806,10.69,0.254
158,2023-01-07 13:00:00,25.766861202963312,10.11,0.31
159,2023-01-07 14:00:00,24.67039902411381,9.62,0.267
160,2023-01-07 15:00:00,24.67039902411381,8.9,0.292
161,2023-01-07 16:00:00,25.49274565825093,8.88,0.242
162,2023-01-07 17:00:00,26.31509229238806,9.14,0.124
163,2023-01-07 18:00:00,27.41155447123756,9.44,0.048
164,2023-01-07 19:00:00,27.41155447123756,9.63,0.002
165,2023-01-07 20:00:00,27.13743892652518,9.42,0.0
166,2023-01-07 21:00:00,25.766861202963312,9.38,0.0
167,2023-01-07 22:00:00,23.02570575583956,9.42,0.0
168,2023-01-07 23:00:00,22.751590211127173,9.31,0.0
169,2023-01-08 00:00:00,21.23946396251068,10.02,0.0
170,2023-01-08 01:00:00,19.91199746485376,9.44,0.0
171,2023-01-08 02:00:00,20.70847736344791,9.73,0.0
172,2023-01-08 03:00:00,21.23946396251068,9.49,0.0
173,2023-01-08 04:00:00,22.03594386110483,9.1,0.0
174,2023-01-08 05:00:00,22.83242375969898,10.01,0.0
175,2023-01-08 06:00:00,23.62890365829313,9.75,0.0
176,2023-01-08 07:00:00,23.89439695782451,9.58,0.0
177,2023-01-08 08:00:00,24.42538355688728,9.42,0.042
178,2023-01-08 09:00:00,25.221863455481422,9.27,0.219
179,2023-01-08 10:00:00,24.95637015595005,8.89,0.434
180,2023-01-08 11:00:00,25.48735675501281,9.98,0.624
181,2023-01-08 12:00:00,25.48735675501281,9.75,0.691
182,2023-01-08 13:00:00,24.95637015595005,9.35,0.778
183,2023-01-08 14:00:00,23.89439695782451,8.82,0.488
184,2023-01-08 15:00:00,23.89439695782451,8.5,0.649
185,2023-01-08 16:00:00,24.690876856418654,7.71,0.438
186,2023-01-08 17:00:00,25.48735675501281,7.65,0.282
187,2023-01-08 18:00:00,26.549329953138344,7.72,0.109
188,2023-01-08 19:00:00,26.549329953138344,7.78,0.003
189,2023-01-08 20:00:00,26.28383665360696,8.28,0.0
190,2023-01-08 21:00:00,24.95637015595005,8.94,0.0
191,2023-01-08 22:00:00,22.30143716063621,8.59,0.0
192,2023-01-08 23:00:00,22.03594386110483,9.79,0.0
193,2023-01-09 00:00:00,30.082055409239292,9.84,0.0
194,2023-01-09 01:00:00,28.20192694616184,9.67,0.0
195,2023-01-09 02:00:00,29.330004024008307,9.42,0.0
196,2023-01-09 03:00:00,30.082055409239292,9.15,0.0
197,2023-01-09 04:00:00,31.210132487085765,8.54,0.0
198,2023-01-09 05:00:00,32.33820956493224,7.99,0.0
199,2023-01-09 06:00:00,33.46628664277871,8.13,0.0
200,2023-01-09 07:00:00,33.842312335394205,8.14,0.0
201,2023-01-09 08:00:00,34.59436372062519,7.69,0.051
202,2023-01-09 09:00:00,35.72244079847166,7.51,0.239
203,2023-01-09 10:00:00,35.346415105856174,8.23,0.449
204,2023-01-09 11:00:00,36.09846649108715,8.71,0.627
205,2023-01-09 12:00:00,36.09846649108715,8.32,0.748
206,2023-01-09 13:00:00,35.346415105856174,8.41,0.792
207,2023-01-09 14:00:00,33.842312335394205,8.03,0.767
208,2023-01-09 15:00:00,33.842312335394205,7.44,0.671
209,2023-01-09 16:00:00,34.97038941324068,7.14,0.507
210,2023-01-09 17:00:00,36.09846649108715,6.65,0.315
211,2023-01-09 18:00:00,37.60256926154912,6.64,0.112
212,2023-01-09 19:00:00,37.60256926154912,6.74,0.003
213,2023-01-09 20:00:00,37.22654356893362,7.16,0.0
214,2023-01-09 21:00:00,35.346415105856174,7.63,0.0
215,2023-01-09 22:00:00,31.58615817970125,7.78,0.0
216,2023-01-09 23:00:00,31.210132487085765,8.77,0.0
217,2023-01-10 00:00:00,31.327490824271496,8.64,0.0
218,2023-01-10 01:00:00,29.36952264775453,8.1,0.0
219,2023-01-10 02:00:00,30.5443035536647,7.79,0.0
220,2023-01-10 03:00:00,31.327490824271496,7.47,0.0
221,2023-01-10 04:00:00,32.502271730181675,7.93,0.0
222,2023-01-10 05:00:00,33.67705263609186,8.04,0.0
223,2023-01-10 06:00:00,34.85183354200204,7.83,0.0
224,2023-01-10 07:00:00,35.243427177305435,7.69,0.0
225,2023-01-10 08:00:00,36.02661444791222,7.83,0.049
226,2023-01-10 09:00:00,37.2013953538224,7.48,0.231
227,2023-01-10 10:00:00,36.809801718519005,7.83,0.439
228,2023-01-10 11:00:00,37.59298898912579,8.59,0.613
229,2023-01-10 12:00:00,37.59298898912579,8.88,0.734
230,2023-01-10 13:00:00,36.809801718519005,9.08,0.788
231,2023-01-10 14:00:00,35.243427177305435,9.27,0.766
232,2023-01-10 15:00:00,35.243427177305435,9.71,0.674
233,2023-01-10 16:00:00,36.41820808321561,9.77,0.516
234,2023-01-10 17:00:00,37.59298898912579,9.66,0.32
235,2023-01-10 18:00:00,39.15936353033937,10.18,0.113
236,2023-01-10 19:00:00,39.15936353033937,10.83,0.004
237,2023-01-10 20:00:00,38.767769895035975,10.96,0.0
238,2023-01-10 21:00:00,36.809801718519005,11.49,0.0
239,2023-01-10 22:00:00,32.89386536548506,11.62,0.0
240,2023-01-10 23:00:00,32.502271730181675,11.23,0.0
241,2023-01-11 00:00:00,30.529134788994448,11.26,0.0
242,2023-01-11 01:00:00,28.62106386468229,11.04,0.0
243,2023-01-11 02:00:00,29.765906419269584,11.01,0.0
244,2023-01-11 03:00:00,30.529134788994448,10.98,0.0
245,2023-01-11 04:00:00,31.673977343581736,11.32,0.0
246,2023-01-11 05:00:00,32.81881989816903,11.54,0.0
247,2023-01-11 06:00:00,33.963662452756324,11.68,0.0
248,2023-01-11 07:00:00,34.34527663761875,11.73,0.0
249,2023-01-11 08:00:00,35.10850500734361,11.4,0.05
250,2023-01-11 09:00:00,36.253347561930894,10.91,0.238
251,2023-01-11 10:00:00,35.871733377068466,10.62,0.45
252,2023-01-11 11:00:00,36.63496174679333,10.54,0.627
253,2023-01-11 12:00:00,36.63496174679333,10.46,0.746
254,2023-01-11 13:00:00,35.871733377068466,10.35,0.798
255,2023-01-11 14:00:00,34.34527663761875,10.07,0.776
256,2023-01-11 15:00:00,34.34527663761875,9.69,0.683
257,2023-01-11 16:00:00,35.49011919220604,9.44,0.527
258,2023-01-11 17:00:00,36.63496174679333,9.36,0.325
259,2023-01-11 18:00:00,38.16141848624306,9.82,0.116
260,2023-01-11 19:00:00,38.16141848624306,10.35,0.004
261,2023-01-11 20:00:00,37.77980430138062,10.88,0.0
262,2023-01-11 21:00:00,35.871733377068466,11.11,0.0
263,2023-01-11 22:00:00,32.05559152844417,11.61,0.0
264,2023-01-11 23:00:00,31.673977343581736,12.32,0.0
265,2023-01-12 00:00:00,31.934241411082056,11.94,0.0
266,2023-01-12 01:00:00,29.938351322889424,11.84,0.0
267,2023-01-12 02:00:00,31.135885375805,11.7,0.0
268,2023-01-12 03:00:00,31.934241411082056,11.42,0.0
269,2023-01-12 04:00:00,33.131775463997634,11.39,0.0
270,2023-01-12 05:00:00,34.329309516913206,11.61,0.0
271,2023-01-12 06:00:00,35.526843569828785,11.51,0.0
272,2023-01-12 07:00:00,35.92602158746731,11.76,0.0
273,2023-01-12 08:00:00,36.72437762274437,12.02,0.05
274,2023-01-12 09:00:00,37.921911675659935,11.99,0.237
275,2023-01-12 10:00:00,37.52273365802141,11.94,0.448
276,2023-01-12 11:00:00,38.32108969329847,11.57,0.627
277,2023-01-12 12:00:00,38.32108969329847,11.61,0.745
278,2023-01-12 13:00:00,37.52273365802141,11.55,0.794
279,2023-01-12 14:00:00,35.92602158746731,11.45,0.78
280,2023-01-12 15:00:00,35.92602158746731,11.27,0.687
281,2023-01-12 16:00:00,37.12355564038289,10.87,0.53
282,2023-01-12 17:00:00,38.32108969329847,10.78,0.328
283,2023-01-12 18:00:00,39.91780176385257,11.11,0.118
284,2023-01-12 19:00:00,39.91780176385257,11.19,0.004
285,2023-01-12 20:00:00,39.51862374621405,10.97,0.0
286,2023-01-12 21:00:00,37.52273365802141,10.64,0.0
287,2023-01-12 22:00:00,33.53095348163616,10.25,0.0
288,2023-01-12 23:00:00,33.131775463997634,10.15,0.0
289,2023-01-13 00:00:00,31.135885375805,9.96,0.0
290,2023-01-13 01:00:00,29.18989253981719,9.84,0.0
291,2023-01-13 02:00:00,30.35748824140988,10.02,0.0
292,2023-01-13 03:00:00,31.135885375805,10.15,0.0
293,2023-01-13 04:00:00,32.303481077397684,10.06,0.0
294,2023-01-13 05:00:00,33.47107677899038,10.28,0.0
295,2023-01-13 06:00:00,34.63867248058306,10.4,0.0
296,2023-01-13 07:00:00,35.02787104778063,10.34,0.0
297,2023-01-13 08:00:00,35.80626818217576,10.12,0.05
298,2023-01-13 09:00:00,36.97386388376844,9.55,0.237
299,2023-01-13 10:00:00,36.58466531657088,9.46,0.447
300,2023-01-13 11:00:00,37.363062450966005,9.25,0.628
301,2023-01-13 12:00:00,37.363062450966005,9.06,0.748
302,2023-01-13 13:00:00,36.58466531657088,8.69,0.803
303,2023-01-13 14:00:00,35.02787104778063,8.38,0.781
304,2023-01-13 15:00:00,35.02787104778063,8.15,0.688
305,2023-01-13 16:00:00,36.19546674937332,7.93,0.531
306,2023-01-13 17:00:00,37.363062450966005,7.47,0.33
307,2023-01-13 18:00:00,38.91985671975626,6.58,0.12
308,2023-01-13 19:00:00,38.91985671975626,6.45,0.005
309,2023-01-13 20:00:00,38.5306581525587,6.59,0.0
310,2023-01-13 21:00:00,36.58466531657088,7.09,0.0
311,2023-01-13 22:00:00,32.69267964459525,7.4,0.0
312,2023-01-13 23:00:00,32.303481077397684,7.84,0.0
313,2023-01-14 00:00:00,21.929243576990046,7.62,0.0
314,2023-01-14 01:00:00,20.558665853428167,7.59,0.0
315,2023-01-14 02:00:00,21.381012487565297,7.6,0.0
316,2023-01-14 03:00:00,21.929243576990046,7.42,0.0
317,2023-01-14 04:00:00,22.751590211127173,7.65,0.0
318,2023-01-14 05:00:00,23.573936845264303,8.01,0.0
319,2023-01-14 06:00:00,24.396283479401426,8.78,0.0
320,2023-01-14 07:00:00,24.67039902411381,9.24,0.0
321,2023-01-14 08:00:00,25.218630113538552,9.17,0.049
322,2023-01-14 09:00:00,26.04097674767568,8.54,0.238
323,2023-01-14 10:00:00,25.766861202963312,8.79,0.452
324,2023-01-14 11:00:00,26.31509229238806,9.3,0.632
325,2023-01-14 12:00:00,26.31509229238806,9.14,0.756
326,2023-01-14 13:00:00,25.766861202963312,8.82,0.808
327,2023-01-14 14:00:00,24.67039902411381,8.63,0.787
328,2023-01-14 15:00:00,24.67039902411381,8.45,0.693
329,2023-01-14 16:00:00,25.49274565825093,8.51,0.536
330,2023-01-14 17:00:00,26.31509229238806,8.45,0.334
331,2023-01-14 18:00:00,27.41155447123756,8.59,0.122
332,2023-01-14 19:00:00,27.41155447123756,8.86,0.005
333,2023-01-14 20:00:00,27.13743892652518,9.06,0.0
334,2023-01-14 21:00:00,25.766861202963312,9.02,0.0
335,2023-01-14 22:00:00,23.02570575583956,8.89,0.0
336,2023-01-14 23:00:00,22.751590211127173,9.66,0.0
337,2023-01-15 00:00:00,21.23946396251068,9.53,0.0
338,2023-01-15 01:00:00,19.91199746485376,9.41,0.0
339,2023-01-15 02:00:00,20.70847736344791,9.44,0.0
340,2023-01-15 03:00:00,21.23946396251068,9.2,0.0
341,2023-01-15 04:00:00,22.03594386110483,8.98,0.0
342,2023-01-15 05:00:00,22.83242375969898,8.83,0.0
343,2023-01-15 06:00:00,23.62890365829313,8.79,0.0
344,2023-01-15 07:00:00,23.89439695782451,8.95,0.0
345,2023-01-15 08:00:00,24.42538355688728,8.89,0.05
346,2023-01-15 09:00:00,25.221863455481422,8.52,0.24
347,2023-01-15 10:00:00,24.95637015595005,8.39,0.454
348,2023-01-15 11:00:00,25.48735675501281,8.34,0.636
349,2023-01-15 12:00:00,25.48735675501281,8.29,0.758
350,2023-01-15 13:00:00,24.95637015595005,8.28,0.812
351,2023-01-15 14:00:00,23.89439695782451,8.01,0.791
352,2023-01-15 15:00:00,23.89439695782451,7.56,0.697
353,2023-01-15 16:00:00,24.690876856418654,7.16,0.54
354,2023-01-15 17:00:00,25.48735675501281,6.74,0.337
355,2023-01-15 18:00:00,26.549329953138344,6.79,0.125
356,2023-01-15 19:00:00,26.549329953138344,7.4,0.005
357,2023-01-15 20:00:00,26.28383665360696,7.75,0.0
358,2023-01-15 21:00:00,24.95637015595005,7.88,0.0
359,2023-01-15 22:00:00,22.30143716063621,7.84,0.0
360,2023-01-15 23:00:00,22.03594386110483,8.3,0.0
361,2023-01-16 00:00:00,30.082055409239292,7.98,0.0
362,2023-01-16 01:00:00,28.20192694616184,7.48,0.0
363,2023-01-16 02:00:00,29.330004024008307,7.45,0.0
364,2023-01-16 03:00:00,30.082055409239292,7.6,0.0
365,2023-01-16 04:00:00,31.210132487085765,8.0,0.0
366,2023-01-16 05:00:00,32.33820956493224,8.13,0.0
367,2023-01-16 06:00:00,33.46628664277871,7.94,0.0
368,2023-01-16 07:00:00,33.842312335394205,7.84,0.0
369,2023-01-16 08:00:00,34.59436372062519,8.14,0.03
370,2023-01-16 09:00:00,35.72244079847166,7.76,0.147
371,2023-01-16 10:00:00,35.346415105856174,7.65,0.417
372,2023-01-16 11:00:00,36.09846649108715,7.49,0.449
373,2023-01-16 12:00:00,36.09846649108715,7.36,0.369
374,2023-01-16 13:00:00,35.346415105856174,7.2,0.311
375,2023-01-16 14:00:00,33.842312335394205,7.08,0.25
376,2023-01-16 15:00:00,33.842312335394205,6.73,0.368
377,2023-01-16 16:00:00,34.97038941324068,5.81,0.292
378,2023-01-16 17:00:00,36.09846649108715,5.48,0.206
379,2023-01-16 18:00:00,37.60256926154912,5.59,0.064
380,2023-01-16 19:00:00,37.60256926154912,4.91,0.005
381,2023-01-16 20:00:00,37.22654356893362,4.92,0.0
382,2023-01-16 21:00:00,35.346415105856174,5.32,0.0
383,2023-01-16 22:00:00,31.58615817970125,6.0,0.0
384,2023-01-16 23:00:00,31.210132487085765,8.48,0.0
385,2023-01-17 00:00:00,31.327490824271496,8.7,0.0
386,2023-01-17 01:00:00,29.36952264775453,7.88,0.0
387,2023-01-17 02:00:00,30.5443035536647,7.79,0.0
388,2023-01-17 03:00:00,31.327490824271496,8.3,0.0
389,2023-01-17 04:00:00,32.502271730181675,7.91,0.0
390,2023-01-17 05:00:00,33.67705263609186,8.13,0.0
391,2023-01-17 06:00:00,34.85183354200204,8.51,0.0
392,2023-01-17 07:00:00,35.243427177305435,9.2,0.0
393,2023-01-17 08:00:00,36.02661444791222,10.77,0.014
394,2023-01-17 09:00:00,37.2013953538224,9.76,0.088
395,2023-01-17 10:00:00,36.809801718519005,8.95,0.228
396,2023-01-17 11:00:00,37.59298898912579,10.83,0.295
397,2023-01-17 12:00:00,37.59298898912579,9.66,0.458
398,2023-01-17 13:00:00,36.809801718519005,7.97,0.386
399,2023-01-17 14:00:00,35.243427177305435,7.31,0.407
400,2023-01-17 15:00:00,35.243427177305435,7.38,0.289
401,2023-01-17 16:00:00,36.41820808321561,7.75,0.23
402,2023-01-17 17:00:00,37.59298898912579,7.56,0.149
403,2023-01-17 18:00:00,39.15936353033937,8.23,0.105
404,2023-01-17 19:00:00,39.15936353033937,9.3,0.005
405,2023-01-17 20:00:00,38.767769895035975,10.44,0.0
406,2023-01-17 21:00:00,36.809801718519005,10.05,0.0
407,2023-01-17 22:00:00,32.89386536548506,9.75,0.0
408,2023-01-17 23:00:00,32.502271730181675,10.96,0.0
409,2023-01-18 00:00:00,30.529134788994448,11.37,0.0
410,2023-01-18 01:00:00,28.62106386468229,10.78,0.0
411,2023-01-18 02:00:00,29.765906419269584,10.78,0.0
412,2023-01-18 03:00:00,30.529134788994448,11.6,0.0
413,2023-01-18 04:00:00,31.673977343581736,11.62,0.0
414,2023-01-18 05:00:00,32.81881989816903,11.55,0.0
415,2023-01-18 06:00:00,33.963662452756324,11.2,0.0
416,2023-01-18 07:00:00,34.34527663761875,11.41,0.0
417,2023-01-18 08:00:00,35.10850500734361,11.27,0.048
418,2023-01-18 09:00:00,36.253347561930894,11.01,0.237
419,2023-01-18 10:00:00,35.871733377068466,10.52,0.452
420,2023-01-18 11:00:00,36.63496174679333,9.76,0.634
421,2023-01-18 12:00:00,36.63496174679333,10.03,0.759
422,2023-01-18 13:00:00,35.871733377068466,10.06,0.817
423,2023-01-18 14:00:00,34.34527663761875,9.62,0.799
424,2023-01-18 15:00:00,34.34527663761875,9.37,0.707
425,2023-01-18 16:00:00,35.49011919220604,9.44,0.549
426,2023-01-18 17:00:00,36.63496174679333,9.34,0.345
427,2023-01-18 18:00:00,38.16141848624306,10.81,0.131
428,2023-01-18 19:00:00,38.16141848624306,11.61,0.006
429,2023-01-18 20:00:00,37.77980430138062,11.61,0.0
430,2023-01-18 21:00:00,35.871733377068466,11.38,0.0
431,2023-01-18 22:00:00,32.05559152844417,11.29,0.0
432,2023-01-18 23:00:00,31.673977343581736,12.18,0.0
433,2023-01-19 00:00:00,31.934241411082056,12.41,0.0
434,2023-01-19 01:00:00,29.938351322889424,12.29,0.0
435,2023-01-19 02:00:00,31.135885375805,12.02,0.0
436,2023-01-19 03:00:00,31.934241411082056,11.27,0.0
437,2023-01-19 04:00:00,33.131775463997634,10.38,0.0
438,2023-01-19 05:00:00,34.329309516913206,10.89,0.0
439,2023-01-19 06:00:00,35.526843569828785,11.38,0.0
440,2023-01-19 07:00:00,35.92602158746731,11.23,0.0
441,2023-01-19 08:00:00,36.72437762274437,11.67,0.048
442,2023-01-19 09:00:00,37.921911675659935,11.27,0.236
443,2023-01-19 10:00:00,37.52273365802141,10.91,0.45
444,2023-01-19 11:00:00,38.32108969329847,11.45,0.63
445,2023-01-19 12:00:00,38.32108969329847,11.09,0.757
446,2023-01-19 13:00:00,37.52273365802141,10.69,0.813
447,2023-01-19 14:00:00,35.92602158746731,10.38,0.794
448,2023-01-19 15:00:00,35.92602158746731,10.47,0.702
449,2023-01-19 16:00:00,37.12355564038289,10.47,0.547
450,2023-01-19 17:00:00,38.32108969329847,10.47,0.344
