hour_of_year,timestamp,wind_speed_100m_m_s,solar_radiation_w_m2,solar_radiation_kw_m2,source
1686,2023-03-12 05:00:00,11.93,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1687,2023-03-12 06:00:00,12.13,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1688,2023-03-12 07:00:00,12.24,2.0,0.002,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1689,2023-03-12 08:00:00,11.85,111.0,0.111,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1690,2023-03-12 09:00:00,10.56,346.0,0.346,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1691,2023-03-12 10:00:00,10.14,584.0,0.584,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1692,2023-03-12 11:00:00,10.59,783.0,0.783,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1693,2023-03-12 12:00:00,11.0,915.0,0.915,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1694,2023-03-12 13:00:00,11.1,973.0,0.973,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1695,2023-03-12 14:00:00,10.41,951.0,0.951,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1696,2023-03-12 15:00:00,9.79,851.0,0.851,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1697,2023-03-12 16:00:00,9.55,681.0,0.681,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1698,2023-03-12 17:00:00,9.72,458.0,0.458,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1699,2023-03-12 18:00:00,9.58,214.0,0.214,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1700,2023-03-12 19:00:00,10.55,29.0,0.029,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1701,2023-03-12 20:00:00,10.77,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1702,2023-03-12 21:00:00,11.24,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1703,2023-03-12 22:00:00,11.83,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1704,2023-03-12 23:00:00,12.71,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1705,2023-03-13 00:00:00,12.12,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1706,2023-03-13 01:00:00,11.06,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1707,2023-03-13 02:00:00,10.18,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1708,2023-03-13 03:00:00,9.85,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1709,2023-03-13 04:00:00,9.24,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1710,2023-03-13 05:00:00,9.12,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1711,2023-03-13 06:00:00,9.31,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1712,2023-03-13 07:00:00,9.52,2.0,0.002,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1713,2023-03-13 08:00:00,9.6,113.0,0.113,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1714,2023-03-13 09:00:00,8.81,348.0,0.348,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1715,2023-03-13 10:00:00,7.48,587.0,0.587,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1716,2023-03-13 11:00:00,8.18,784.0,0.784,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1717,2023-03-13 12:00:00,8.34,920.0,0.92,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1718,2023-03-13 13:00:00,8.25,978.0,0.978,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1719,2023-03-13 14:00:00,7.98,955.0,0.955,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1720,2023-03-13 15:00:00,7.83,853.0,0.853,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1721,2023-03-13 16:00:00,7.89,682.0,0.682,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1722,2023-03-13 17:00:00,7.89,459.0,0.459,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1723,2023-03-13 18:00:00,8.21,215.0,0.215,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1724,2023-03-13 19:00:00,9.3,29.0,0.029,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1725,2023-03-13 20:00:00,10.0,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1726,2023-03-13 21:00:00,10.4,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1727,2023-03-13 22:00:00,10.5,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1728,2023-03-13 23:00:00,10.9,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1729,2023-03-14 00:00:00,10.4,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1730,2023-03-14 01:00:00,10.21,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1731,2023-03-14 02:00:00,9.43,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1732,2023-03-14 03:00:00,8.75,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1733,2023-03-14 04:00:00,8.39,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1734,2023-03-14 05:00:00,7.45,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1735,2023-03-14 06:00:00,7.16,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1736,2023-03-14 07:00:00,7.34,3.0,0.003,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1737,2023-03-14 08:00:00,6.73,117.0,0.117,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1738,2023-03-14 09:00:00,4.8,354.0,0.354,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1739,2023-03-14 10:00:00,4.57,594.0,0.594,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1740,2023-03-14 11:00:00,5.14,791.0,0.791,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1741,2023-03-14 12:00:00,4.22,932.0,0.932,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1742,2023-03-14 13:00:00,3.13,994.0,0.994,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1743,2023-03-14 14:00:00,2.31,976.0,0.976,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1744,2023-03-14 15:00:00,2.34,874.0,0.874,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1745,2023-03-14 16:00:00,3.2,699.0,0.699,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1746,2023-03-14 17:00:00,4.69,471.0,0.471,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1747,2023-03-14 18:00:00,5.3,221.0,0.221,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1748,2023-03-14 19:00:00,6.57,30.0,0.03,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1749,2023-03-14 20:00:00,7.28,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1750,2023-03-14 21:00:00,7.41,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1751,2023-03-14 22:00:00,6.97,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1752,2023-03-14 23:00:00,5.67,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1753,2023-03-15 00:00:00,5.3,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1754,2023-03-15 01:00:00,5.47,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1755,2023-03-15 02:00:00,5.72,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1756,2023-03-15 03:00:00,6.23,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1757,2023-03-15 04:00:00,6.4,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1758,2023-03-15 05:00:00,5.59,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1759,2023-03-15 06:00:00,4.93,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1760,2023-03-15 07:00:00,4.63,3.0,0.003,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1761,2023-03-15 08:00:00,4.88,117.0,0.117,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1762,2023-03-15 09:00:00,3.51,352.0,0.352,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1763,2023-03-15 10:00:00,2.86,587.0,0.587,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1764,2023-03-15 11:00:00,1.56,782.0,0.782,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1765,2023-03-15 12:00:00,2.02,914.0,0.914,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1766,2023-03-15 13:00:00,2.43,967.0,0.967,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1767,2023-03-15 14:00:00,2.2,940.0,0.94,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1768,2023-03-15 15:00:00,2.77,834.0,0.834,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1769,2023-03-15 16:00:00,2.86,663.0,0.663,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1770,2023-03-15 17:00:00,2.63,446.0,0.446,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1771,2023-03-15 18:00:00,2.83,209.0,0.209,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1772,2023-03-15 19:00:00,4.0,29.0,0.029,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1773,2023-03-15 20:00:00,5.12,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1774,2023-03-15 21:00:00,5.6,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1775,2023-03-15 22:00:00,6.05,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1776,2023-03-15 23:00:00,6.41,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1777,2023-03-16 00:00:00,5.92,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1778,2023-03-16 01:00:00,5.06,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1779,2023-03-16 02:00:00,5.28,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1780,2023-03-16 03:00:00,5.74,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1781,2023-03-16 04:00:00,6.61,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1782,2023-03-16 05:00:00,5.6,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1783,2023-03-16 06:00:00,5.71,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1784,2023-03-16 07:00:00,6.01,3.0,0.003,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1785,2023-03-16 08:00:00,5.15,109.0,0.109,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1786,2023-03-16 09:00:00,4.5,334.0,0.334,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1787,2023-03-16 10:00:00,4.14,564.0,0.564,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1788,2023-03-16 11:00:00,3.92,774.0,0.774,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1789,2023-03-16 12:00:00,2.21,899.0,0.899,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1790,2023-03-16 13:00:00,1.33,954.0,0.954,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1791,2023-03-16 14:00:00,0.22,938.0,0.938,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1792,2023-03-16 15:00:00,1.3,817.0,0.817,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1793,2023-03-16 16:00:00,2.56,574.0,0.574,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1794,2023-03-16 17:00:00,3.8,384.0,0.384,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1795,2023-03-16 18:00:00,4.03,194.0,0.194,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1796,2023-03-16 19:00:00,3.72,29.0,0.029,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1797,2023-03-16 20:00:00,4.69,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1798,2023-03-16 21:00:00,5.25,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1799,2023-03-16 22:00:00,6.72,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1800,2023-03-16 23:00:00,6.83,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1801,2023-03-17 00:00:00,6.51,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1802,2023-03-17 01:00:00,6.71,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1803,2023-03-17 02:00:00,7.03,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1804,2023-03-17 03:00:00,7.03,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1805,2023-03-17 04:00:00,7.02,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1806,2023-03-17 05:00:00,6.92,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1807,2023-03-17 06:00:00,7.63,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1808,2023-03-17 07:00:00,8.24,3.0,0.003,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1809,2023-03-17 08:00:00,8.85,115.0,0.115,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1810,2023-03-17 09:00:00,9.31,338.0,0.338,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1811,2023-03-17 10:00:00,8.79,552.0,0.552,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1812,2023-03-17 11:00:00,8.51,762.0,0.762,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1813,2023-03-17 12:00:00,8.35,901.0,0.901,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1814,2023-03-17 13:00:00,8.34,959.0,0.959,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1815,2023-03-17 14:00:00,7.75,938.0,0.938,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1816,2023-03-17 15:00:00,6.55,839.0,0.839,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1817,2023-03-17 16:00:00,6.67,667.0,0.667,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1818,2023-03-17 17:00:00,7.2,448.0,0.448,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1819,2023-03-17 18:00:00,8.42,209.0,0.209,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1820,2023-03-17 19:00:00,9.63,28.0,0.028,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1821,2023-03-17 20:00:00,9.61,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1822,2023-03-17 21:00:00,8.93,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1823,2023-03-17 22:00:00,8.28,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1824,2023-03-17 23:00:00,8.16,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1825,2023-03-18 00:00:00,8.32,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1826,2023-03-18 01:00:00,7.69,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1827,2023-03-18 02:00:00,7.33,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1828,2023-03-18 03:00:00,7.3,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1829,2023-03-18 04:00:00,7.1,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1830,2023-03-18 05:00:00,7.1,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1831,2023-03-18 06:00:00,6.8,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1832,2023-03-18 07:00:00,7.0,4.0,0.004,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1833,2023-03-18 08:00:00,6.71,116.0,0.116,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1834,2023-03-18 09:00:00,6.97,347.0,0.347,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1835,2023-03-18 10:00:00,7.43,577.0,0.577,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1836,2023-03-18 11:00:00,6.63,765.0,0.765,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1837,2023-03-18 12:00:00,4.44,888.0,0.888,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1838,2023-03-18 13:00:00,3.0,951.0,0.951,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1839,2023-03-18 14:00:00,2.83,928.0,0.928,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1840,2023-03-18 15:00:00,2.91,827.0,0.827,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1841,2023-03-18 16:00:00,3.05,658.0,0.658,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1842,2023-03-18 17:00:00,3.81,441.0,0.441,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1843,2023-03-18 18:00:00,4.3,206.0,0.206,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1844,2023-03-18 19:00:00,5.92,28.0,0.028,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1845,2023-03-18 20:00:00,7.47,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1846,2023-03-18 21:00:00,8.31,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1847,2023-03-18 22:00:00,9.1,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1848,2023-03-18 23:00:00,8.84,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1849,2023-03-19 00:00:00,8.33,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1850,2023-03-19 01:00:00,7.12,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1851,2023-03-19 02:00:00,6.71,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1852,2023-03-19 03:00:00,6.81,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1853,2023-03-19 04:00:00,6.91,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1854,2023-03-19 05:00:00,6.8,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1855,2023-03-19 06:00:00,7.6,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1856,2023-03-19 07:00:00,8.2,4.0,0.004,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1857,2023-03-19 08:00:00,8.33,120.0,0.12,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1858,2023-03-19 09:00:00,8.61,346.0,0.346,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1859,2023-03-19 10:00:00,8.42,577.0,0.577,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1860,2023-03-19 11:00:00,7.52,768.0,0.768,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1861,2023-03-19 12:00:00,7.16,899.0,0.899,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1862,2023-03-19 13:00:00,6.21,956.0,0.956,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1863,2023-03-19 14:00:00,5.66,933.0,0.933,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1864,2023-03-19 15:00:00,6.02,832.0,0.832,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1865,2023-03-19 16:00:00,6.43,662.0,0.662,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1866,2023-03-19 17:00:00,6.85,445.0,0.445,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1867,2023-03-19 18:00:00,7.42,208.0,0.208,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
1868,2023-03-19 19:00:00,8.6,29.0,0.029,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
